product	msb	lsb	pc	number	name	category
EXSN01	105	64	1	1	Concert Jazz	
EXSN01	105	64	2	2	Recording Grand	
EXSN01	105	64	3	3	Concert Grand	
EXSN01	105	64	4	4	Bright Concert	
EXSN01	105	64	5	5	Mellow Concert	
EXSN01	105	64	6	6	Concert Grand 2	
EXSN01	105	64	7	7	Bright Concert 2	
EXSN01	105	64	8	8	Mellow Concert 2	
EXSN01	105	64	9	9	Clear Grand	
EXSN01	105	64	10	10	Mono Grand	
EXSN02	105	65	1	1	Tine Mk II Trem	
EXSN02	105	65	2	2	Tine Mk I Trem 1	
EXSN02	105	65	3	3	Tine EP Trem	
EXSN02	105	65	4	4	1975 EP Trem 1	
EXSN02	105	65	5	5	1975 EP Amp OD 1	
EXSN02	105	65	6	6	Mk II Chorus	
EXSN02	105	65	7	7	1975 Chorus	
EXSN02	105	65	8	8	Mk II Phaser	
EXSN02	105	65	9	9	1975 Phaser	
EXSN02	105	65	10	10	Mk I Touch Wah	
EXSN02	105	65	11	11	TineEP Tape Echo	
EXSN02	105	65	12	12	1975 Tape Echo	
EXSN02	105	65	13	13	Mk I Mod Delay	
EXSN02	105	65	14	14	Mk II Comp	
EXSN02	105	65	15	15	1975 Comp	
EXSN02	105	65	16	16	1975 RingMod	
EXSN02	105	65	17	17	Tine Mk I Trem 2	
EXSN02	105	65	18	18	Tine MkI TrmOff	
EXSN02	105	65	19	19	1975 EP Trem 2	
EXSN02	105	65	20	20	Tine EP Mk II RD	
EXSN02	105	65	21	21	Tine EP Mk I RD	
EXSN02	105	65	22	22	Tine E.Piano RD	
EXSN02	105	65	23	23	1975 E.Piano RD	
EXSN02	105	65	24	24	1975 EP Amp OD 2	
EXSN02	105	65	25	25	75 TremoloEP RD	
EXSN02	105	65	26	26	75 Mellow EP RD	
EXSN02	105	65	27	27	Chorus TineEP RD	
EXSN02	105	65	28	28	75 Chorus EP RD	
EXSN02	105	65	29	29	75 Phased EP RD	
EXSN02	105	65	30	30	Phaser TineEP RD	
EXSN02	105	65	31	31	75 SweetEcho RD	
EXSN02	105	65	32	32	75 ModDelayEP RD	
EXSN02	105	65	33	33	75 ModDelay EP	
EXSN02	105	65	34	34	75 Driven EP RD	
EXSN02	105	65	35	35	Mk I Keyoff RD	
EXSN02	105	65	36	36	1975 Keyoff RD	
EXSN03	105	66	1	1	Classic Piano	
EXSN03	105	66	2	2	Classic Light	
EXSN03	105	66	3	3	Classic Heavy	
EXSN03	105	66	4	4	Classic Warm 1	
EXSN03	105	66	5	5	Classic Warm 2	
EXSN03	105	66	6	6	Classic Warm 3	
EXSN03	105	66	7	7	Clsc Brilliant 1	
EXSN03	105	66	8	8	Clsc Brilliant 2	
EXSN03	105	66	9	9	Clsc Brilliant 3	
EXSN03	105	66	10	10	Smooth Classic	
EXSN03	105	66	11	11	Winter Warm	
EXSN03	105	66	12	12	Oslo's Finest	
EXSN03	105	66	13	13	Homegrown	
EXSN03	105	66	14	14	Nordic Breeze	
EXSN03	105	66	15	15	Mazurka 1849	
EXSN03	105	66	16	16	Wondermaze	
EXSN03	105	66	17	17	Stargaze	
EXSN03	105	66	18	18	Rev Expression	
EXSN03	105	66	19	19	Chorus Baroness	
EXSN03	105	66	20	20	Piano Concrete	
EXSN04	105	67	1	1	Artists' Choice	
EXSN04	105	67	2	2	Warm Artist	
EXSN04	105	67	3	3	Bright Artist	
EXSN04	105	67	4	4	Piano Performer	
EXSN04	105	67	5	5	Studio Grand	
EXSN04	105	67	6	6	Lyrical Touch	
EXSN04	105	67	7	7	Grand Ballad	
EXSN04	105	67	8	8	Pop Rocker	
EXSN04	105	67	9	9	Piano Rag	
EXSN04	105	67	10	10	Dark Felt Pno	
EXSN04	105	67	11	11	Warm Felt Pno	
EXSN04	105	67	12	12	Soft Distance	
EXSN04	105	67	13	13	Legato Static	
EXSN04	105	67	14	14	Make Me Phase	
EXSN04	105	67	15	15	Mod Acoustive	
EXZ001	101	64	1	1	Expressive Grand	
EXZ001	101	64	2	2	Expressiv Bright	
EXZ001	101	64	3	3	Expressive Warm	
EXZ001	101	64	4	4	Expressive Mono	
EXZ001	101	64	5	5	Expressive Grd 2	
EXZ001	101	64	6	6	Expressive+EP 1	
EXZ001	101	64	7	7	Expressive+EP 2	
EXZ001	101	64	8	8	QuietPno+StrTrem	
EXZ001	101	64	9	9	Expressive+Str	
EXZ001	101	64	10	10	Expressive+Pad	
EXZ001	101	64	11	11	Expressive+Bell	
EXZ002	101	65	1	1	Ultimate Grand	
EXZ002	101	65	2	2	Ac Pno EQ Cutter	
EXZ002	101	65	3	3	X-Pure Grand	
EXZ002	101	65	4	4	X-Pure Mellow	
EXZ002	101	65	5	5	X-Pure+E.Piano	
EXZ002	101	65	6	6	X-Pure+String	
EXZ002	101	65	7	7	Purification	
EXZ002	101	65	8	8	Pno Wonderland	
EXZ002	101	65	9	9	X-Pure+Pad	
EXZ002	101	65	10	10	Atmosphere Piano	
EXZ002	101	65	11	11	Ac Pno Mod Man	
EXZ002	101	65	12	12	Ac Pno Rev Delay	
EXZ002	101	65	13	13	E.Piano Mk I  1	
EXZ002	101	65	14	14	E.Piano Mk I  2	
EXZ002	101	65	15	15	E.Piano Mk II  1	
EXZ002	101	65	16	16	E.Piano Mk II  2	
EXZ002	101	65	17	17	RD Tremolo EP	
EXZ002	101	65	18	18	Chorus E.Piano 1	
EXZ002	101	65	19	19	Chorus E.Piano 2	
EXZ002	101	65	20	20	Phaser E.Piano 1	
EXZ002	101	65	21	21	Phaser E.Piano 2	
EXZ002	101	65	22	22	Phaser E.Piano 3	
EXZ002	101	65	23	23	RingMod E.Piano	
EXZ002	101	65	24	24	Delay E.Piano 1	
EXZ002	101	65	25	25	Delay E.Piano 2	
EXZ002	101	65	26	26	Delay E.Piano 3	
EXZ003	100	64	1	1	Pop Session Kit1	
EXZ003	100	64	2	2	AltRock Kit 1	
EXZ003	100	64	3	3	AltRock Kit 2	
EXZ003	100	64	4	4	Pop Session Kit2	
EXZ003	100	64	5	5	AltRock Kit 3	
EXZ003	100	64	6	6	AltRock Kit 4	
EXZ003	100	64	7	7	Alt TightBoy Kit	
EXZ003	100	64	8	8	Pop Filter Kit	
EXZ003	100	64	9	9	Pop Phaser Kit	
EXZ003	100	64	10	10	Picc Phase Kit	
EXZ003	100	64	11	11	El Tubbo Kit	
EXZ003	100	64	12	12	Pan Delay Kit	
EXZ003	100	64	13	13	Pitch Shift Kit	
EXZ003	100	64	14	14	Sync Wah Kit	
EXZ003	100	64	15	15	Tight Ring Kit	
EXZ004	100	65	1	1	Power Kit 1	
EXZ004	100	65	2	2	Power Kit 2	
EXZ004	100	65	3	3	Power Kit 3	
EXZ004	100	65	4	4	Power Kit 4	
EXZ004	100	65	5	5	Power Tight Kit1	
EXZ004	100	65	6	6	Power Tight Kit2	
EXZ004	100	65	7	7	Power Tight Kit3	
EXZ004	100	65	8	8	Power Tight Kit4	
EXZ004	100	65	9	9	PowerTightBoyKit	
EXZ004	100	65	10	10	SBF Power Kit	
EXZ004	100	65	11	11	Trash Kit	
EXZ005	93	2	1	1	Y2K Plus One	
EXZ005	93	2	2	2	Pastoral	
EXZ005	93	2	3	3	Majestic	
EXZ005	93	2	4	4	Twin Strings	
EXZ005	93	2	5	5	Taxi EP	
EXZ005	93	2	6	6	Peru Heights	
EXZ005	93	2	7	7	String Cloud	
EXZ005	93	2	8	8	Mysteria	
EXZ005	93	2	9	9	Mutes To Go	
EXZ005	93	2	10	10	HeavyMute/sw	
EXZ005	93	2	11	11	Wheel D-bar	
EXZ005	93	2	12	12	Kid's Glory	
EXZ005	93	2	13	13	GuitarInMist	
EXZ005	93	2	14	14	Overdrones	
EXZ005	93	2	15	15	RockAcoustic	
EXZ005	93	2	16	16	Piano Duel	
EXZ005	93	2	17	17	Chorus LA	
EXZ005	93	2	18	18	70's Blend	
EXZ005	93	2	19	19	OctopusPiano	
EXZ005	93	2	20	20	Rehoisal	
EXZ005	93	2	21	21	US EP	
EXZ005	93	2	22	22	Studio EP	
EXZ005	93	2	23	23	All EP	
EXZ005	93	2	24	24	Sens. EP	
EXZ005	93	2	25	25	Harmonic Seq	
EXZ005	93	2	26	26	Still drumin	
EXZ005	93	2	27	27	B3 Mod/Aft	
EXZ005	93	2	28	28	B3 Perc	
EXZ005	93	2	29	29	DynOrgan	
EXZ005	93	2	30	30	Voxx Organ	
EXZ005	93	2	31	31	South Border	
EXZ005	93	2	32	32	Bright Nyle	
EXZ005	93	2	33	33	Rolin'Fingrs	
EXZ005	93	2	34	34	Nylon Vel	
EXZ005	93	2	35	35	Flamenco&Gtr	
EXZ005	93	2	36	36	Studio 12Str	
EXZ005	93	2	37	37	All AGuitars	
EXZ005	93	2	38	38	RichElec12st	
EXZ005	93	2	39	39	Electro-Ac.	
EXZ005	93	2	40	40	Jazzy /Slide	
EXZ005	93	2	41	41	Clean Comp	
EXZ005	93	2	42	42	Jazz Clean	
EXZ005	93	2	43	43	Jazz VelOct	
EXZ005	93	2	44	44	SemiAc Amp+Chrs	
EXZ005	93	2	45	45	Switched On	
EXZ005	93	2	46	46	Tremolo Gtr	
EXZ005	93	2	47	47	NoThat Clean	
EXZ005	93	2	48	48	OhWow Guitar	
EXZ005	93	2	49	49	RED 5ths	
EXZ005	93	2	50	50	Touch Solo	
EXZ005	93	2	51	51	Fingr Tap'n	
EXZ005	93	2	52	52	Blues Grunge	
EXZ005	93	2	53	53	6-Str Bass	
EXZ005	93	2	54	54	Thumb&PullBs	
EXZ005	93	2	55	55	42nd Bass	
EXZ005	93	2	56	56	Mr. Jazz	
EXZ005	93	2	57	57	Picked JBass	
EXZ005	93	2	58	58	Upright Pizz	
EXZ005	93	2	59	59	Gt/BsNz MENU	
EXZ005	93	2	60	60	Lo Pizz Sect	
EXZ005	93	2	61	61	Octo Orch	
EXZ005	93	2	62	62	WindsFX MENU	
EXZ005	93	2	63	63	FluteVibrato	
EXZ005	93	2	64	64	Legato Flt 3	
EXZ005	93	2	65	65	Alto Flute	
EXZ005	93	2	66	66	Atk Flute	
EXZ005	93	2	67	67	SpaceFlute 2	
EXZ005	93	2	68	68	The Pan Pipe	
EXZ005	93	2	69	69	Breathy Pan	
EXZ005	93	2	70	70	Moceno	
EXZ005	93	2	71	71	Puffers	
EXZ005	93	2	72	72	Amazone	
EXZ005	93	2	73	73	Aztek ketzA	
EXZ005	93	2	74	74	Afro Flute	
EXZ005	93	2	75	75	SingingFlute	
EXZ005	93	2	76	76	GTR/Flt Scat	
EXZ005	93	2	77	77	Vox/Flt Scat	
EXZ005	93	2	78	78	Tape Flute	
EXZ005	93	2	79	79	Solo Trumpet	
EXZ005	93	2	80	80	Penny Tpt	
EXZ005	93	2	81	81	Mello TrBone	
EXZ005	93	2	82	82	DynamicBones	
EXZ005	93	2	83	83	Trumps&Bones	
EXZ005	93	2	84	84	Bigger Brass	
EXZ005	93	2	85	85	Brass Cooker	
EXZ005	93	2	86	86	Mod Sfz	
EXZ005	93	2	87	87	After Hours	
EXZ005	93	2	88	88	Mic'd Mute	
EXZ005	93	2	89	89	WarmBrsPad	
EXZ005	93	2	90	90	VCOs and As	
EXZ005	93	2	91	91	MG Brass	
EXZ005	93	2	92	92	Alto Sax Vel	
EXZ005	93	2	93	93	Honky Tenor	
EXZ005	93	2	94	94	Barely Bari	
EXZ005	93	2	95	95	Sax Sect mp	
EXZ005	93	2	96	96	Saxx-shun	
EXZ005	93	2	97	97	Psycho Sax	
EXZ005	93	2	98	98	HardSlidLead	
EXZ005	93	2	99	99	MonoLeads x2	
EXZ005	93	2	100	100	Tiny Love	
EXZ005	93	2	101	101	Soft Jup' LD	
EXZ005	93	2	102	102	MultiTap OB	
EXZ005	93	2	103	103	Night Blade	
EXZ005	93	2	104	104	Velo OB Str	
EXZ005	93	2	105	105	Meadow	
EXZ005	93	2	106	106	OB 5th Strng	
EXZ005	93	2	107	107	GhettoStrngz	
EXZ005	93	2	108	108	Octa Poly	
EXZ005	93	2	109	109	Pipewind	
EXZ005	93	2	110	110	Big & Gentle	
EXZ005	93	2	111	111	Ethernal	
EXZ005	93	2	112	112	3D MovingPad	
EXZ005	93	2	113	113	VintgStackSt	
EXZ005	93	2	114	114	St.ChldChoir	
EXZ005	93	2	115	115	HybrdChoirVS	
EXZ005	93	2	116	116	Swirly Mist	
EXZ005	93	2	117	117	St M+F Choir	
EXZ005	93	2	118	118	Cool Choir	
EXZ005	93	2	119	119	Mutatovox	
EXZ005	93	2	120	120	Dance Doos	
EXZ005	93	2	121	121	Dance OB	
EXZ005	93	2	122	122	Sliced Bread	
EXZ005	93	2	123	123	On&On&On	
EXZ005	93	2	124	124	Temptation	
EXZ005	93	2	125	125	Old Cartoon	
EXZ005	93	2	126	126	Swingtime	
EXZ005	93	2	127	127	Solar Winds	
EXZ005	93	2	128	128	Western	
EXZ006	93	19	1	1	World Sounds	
EXZ006	93	19	2	2	Go2China /C2	
EXZ006	93	19	3	3	Go2India /C2	
EXZ006	93	19	4	4	The Great W	
EXZ006	93	19	5	5	Yuehchin+	
EXZ006	93	19	6	6	Sweet Nylon	
EXZ006	93	19	7	7	TL R&F	
EXZ006	93	19	8	8	Tubby Baby	
EXZ006	93	19	9	9	HeavenGender	
EXZ006	93	19	10	10	Gamelan Ems	
EXZ006	93	19	11	11	Childwood	
EXZ006	93	19	12	12	La Musette	
EXZ006	93	19	13	13	Essence	
EXZ006	93	19	14	14	Zampona /	
EXZ006	93	19	15	15	GipsyTrumpt/	
EXZ006	93	19	16	16	Fun WithPerc	
EXZ006	93	19	17	17	Feets	
EXZ006	93	19	18	18	World Radio	
EXZ006	93	19	19	19	ClanAdvances	
EXZ006	93	19	20	20	Eastern Tour	
EXZ006	93	19	21	21	Enough!STOP!	
EXZ006	93	19	22	22	Banjo Phrs	
EXZ006	93	19	23	23	Guitar Phrs1	
EXZ006	93	19	24	24	Guitar Phrs2	
EXZ006	93	19	25	25	PdlStl Phrs	
EXZ006	93	19	26	26	Asia  UFO	
EXZ006	93	19	27	27	UBeenSoBaa	
EXZ006	93	19	28	28	Didgeri /	
EXZ006	93	19	29	29	WorldGroove	
