msb	lsb	pc	number	name	category
86	64	1	0001	LD Std Kit 1	Drums
86	64	2	0002	LD Std Kit 2	Drums
86	64	3	0003	Me Shell Kit 1	Drums
86	64	4	0004	Me Shell Kit 2	Drums
86	64	5	0005	WD Std Kit 1	Drums
86	64	6	0006	WD Std Kit 2	Drums
86	64	7	0007	SF Std Kit 1	Drums
86	64	8	0008	SF Std Kit 2	Drums
86	64	9	0009	Rock Kit 1	Drums
86	64	10	0010	Rock Kit 2	Drums
86	64	11	0011	Brush Jz Kit 1	Drums
86	64	12	0012	Brush Jz Kit 2	Drums
86	64	13	0013	Standard Kit 1	Drums
86	64	14	0014	Standard Kit 2	Drums
86	64	15	0015	Standard Kit 3	Drums
86	64	16	0016	Standard Kit 4	Drums
86	64	17	0017	Standard Kit 5	Drums
86	65	1	0001	Standard Kit	Drums
86	65	2	0002	Room Kit	Drums
86	65	3	0003	Power Kit	Drums
86	65	4	0004	Electric Kit	Drums
86	65	5	0005	Analog Kit	Drums
86	65	6	0006	Jazz Kit	Drums
86	65	7	0007	Brush Kit	Drums
86	65	8	0008	Orchestra Kit	Drums
86	65	9	0009	SFX Kit	Drums
86	65	10	0010	Standard Kit w	Drums
86	65	11	0011	Room Kit w	Drums
86	65	12	0012	Power Kit w	Drums
86	65	13	0013	Electric Kit w	Drums
86	65	14	0014	Analog Kit w	Drums
86	65	15	0015	Jazz Kit w	Drums
86	65	16	0016	Brush Kit w	Drums
86	65	17	0017	Orchestra Kit w	Drums
86	65	18	0018	SFX Kit w	Drums
86	65	19	0019	Studio Kit	Drums
86	65	20	0020	Studio Kit w	Drums
86	65	21	0021	Pop Kit	Drums
86	65	22	0022	Pop Kit w	Drums
86	65	23	0023	Pop Kit Lim	Drums
86	65	24	0024	90’s Kit	Drums
86	65	25	0025	90’s Kit comp	Drums
86	65	26	0026	90’s Kit w comp	Drums
86	65	27	0027	80’s Kit	Drums
86	65	28	0028	80’s Kit comp	Drums
86	65	29	0029	80’s Kit w comp	Drums
86	65	30	0030	EDM Kit	Drums
86	65	31	0031	EDM Kit w	Drums
86	65	32	0032	EDM Kit Lim	Drums
86	65	33	0033	Drum&Bass Kit	Drums
86	65	34	0034	Drum&Bass Kit w	Drums
86	65	35	0035	Drum&Bass KitLim	Drums
86	65	36	0036	Techno Kit	Drums
86	65	37	0037	Techno Kit w	Drums
86	65	38	0038	House Kit	Drums
86	65	39	0039	House Kit w	Drums
86	65	40	0040	HipHop Kit	Drums
86	65	41	0041	HipHop Kit comp	Drums
86	65	42	0042	HipHop Kit w cmp	Drums
86	65	43	0043	R&B Kit	Drums
86	65	44	0044	R&B Kit w	Drums
86	65	45	0045	TR-909	Drums
86	65	46	0046	TR-909 comp	Drums
86	65	47	0047	TR-909 w comp	Drums
86	65	48	0048	TR-808	Drums
86	65	49	0049	TR-808 comp	Drums
86	65	50	0050	TR-808 w comp	Drums
86	65	51	0051	TR-707&727	Drums
86	65	52	0052	TR-707&727 comp	Drums
86	65	53	0053	TR-707&727 w cmp	Drums
86	65	54	0054	CR-78	Drums
86	65	55	0055	CR-78 comp	Drums
86	65	56	0056	CR-78 w comp	Drums
86	65	57	0057	TR-606	Drums
86	65	58	0058	TR-606 comp	Drums
86	65	59	0059	TR-606 w comp	Drums
86	65	60	0060	TR-626	Drums
86	65	61	0061	TR-626 comp	Drums
86	65	62	0062	TR-626 w comp	Drums
86	65	63	0063	Kick	Drums
86	65	64	0064	Kick w	Drums
86	65	65	0065	Snare	Drums
86	65	66	0066	Snare w	Drums
86	65	67	0067	RimStickClapTom	Drums
86	65	68	0068	RimStickClapTm w	Drums
86	65	69	0069	HiHat Cymbal	Drums
86	65	70	0070	HiHat Cymbal w	Drums
86	65	71	0071	Other Perc 1	Drums
86	65	72	0072	Other Perc 1 w	Drums
86	65	73	0073	Other Perc 2	Drums
86	65	74	0074	Other Perc 2 w	Drums
