tone_id	bank	number	name	category
16384	PR-B	1	AX Classic Lead	34:Synth Lead
16385	PR-B	2	AX Jupiter Ld 1	34:Synth Lead
16386	PR-B	3	Alpha Split	34:Synth Lead
16387	PR-B	4	AX Warm Lead	34:Synth Lead
16388	PR-B	5	AX Saw Lead 1	34:Synth Lead
16389	PR-B	6	AX Saw Lead 2	34:Synth Lead
16390	PR-B	7	Edge Boost	34:Synth Lead
16391	PR-B	8	AX Delayed Lead	34:Synth Lead
16392	PR-B	9	Follow Me	34:Synth Lead
16393	PR-B	10	HPF Mod Lead	34:Synth Lead
16394	PR-B	11	Hot Coffee	34:Synth Lead
16395	PR-B	12	Phase Lead	34:Synth Lead
16396	PR-B	13	Porta Saw Lead	34:Synth Lead
16397	PR-B	14	Windy Lead	34:Synth Lead
16398	PR-B	15	Pulstar Lead	34:Synth Lead
16399	PR-B	16	Dist TB Lead	34:Synth Lead
16400	PR-B	17	GR-300 Lead 1	34:Synth Lead
16401	PR-B	18	GR-300 Lead 2	34:Synth Lead
16402	PR-B	19	AX Saw Lead 3	34:Synth Lead
16403	PR-B	20	AX Saw Lead 4	34:Synth Lead
16404	PR-B	21	Bright Pulse	34:Synth Lead
16405	PR-B	22	AX Waspy Lead	34:Synth Lead
16406	PR-B	23	Bright Square	34:Synth Lead
16407	PR-B	24	Simple Square	34:Synth Lead
16408	PR-B	25	Square Edge	34:Synth Lead
16409	PR-B	26	X-Mod Lead	34:Synth Lead
16410	PR-B	27	AX 5th Saw Lead	34:Synth Lead
16411	PR-B	28	Oct Solid Saw	34:Synth Lead
16412	PR-B	29	Oct Saw Lead	34:Synth Lead
16413	PR-B	30	AX Fat GR Lead	34:Synth Lead
16414	PR-B	31	Oct Juice	34:Synth Lead
16415	PR-B	32	AX Juicy Lead	34:Synth Lead
16416	PR-B	33	Square Stack	34:Synth Lead
16417	PR-B	34	7th Stack Lead	34:Synth Lead
16418	PR-B	35	Oct Square	34:Synth Lead
16419	PR-B	36	Tri Stack	34:Synth Lead
16420	PR-B	37	Digi Lead	34:Synth Lead
16421	PR-B	38	Fireball Lead	34:Synth Lead
16422	PR-B	39	AX Jupiter Ld 2	34:Synth Lead
16423	PR-B	40	AX Saw Lead 5	34:Synth Lead
16424	PR-B	41	Pro Fat Lead	34:Synth Lead
16425	PR-B	42	Mid Saw Lead	34:Synth Lead
16426	PR-B	43	Reso Saw Lead	34:Synth Lead
16427	PR-B	44	AX Square Lead	34:Synth Lead
16428	PR-B	45	Simple Tri Lead	34:Synth Lead
16429	PR-B	46	2 krazy Soft	34:Synth Lead
16430	PR-B	47	AX Ramp Lead	34:Synth Lead
16431	PR-B	48	Pulse Lead 1	34:Synth Lead
16432	PR-B	49	Pulse Lead 2	34:Synth Lead
16433	PR-B	50	Digi-Rip Lead	34:Synth Lead
16434	PR-B	51	Theramax	34:Synth Lead
16435	PR-B	52	On Air Lead	34:Synth Lead
16436	PR-B	53	Air Lead	34:Synth Lead
16437	PR-B	54	AX Soft Lead	34:Synth Lead
16438	PR-B	55	Soft Sqr Lead	34:Synth Lead
16439	PR-B	56	Tri Lead 1	34:Synth Lead
16440	PR-B	57	Tri Lead 2	34:Synth Lead
16441	PR-B	58	Solo Nz Peaker	34:Synth Lead
16442	PR-B	59	Whistle Lead	34:Synth Lead
16443	PR-B	60	AX Spooky Lead	34:Synth Lead
16444	PR-B	61	Sine Lead 1	34:Synth Lead
16445	PR-B	62	Sine Lead 2	34:Synth Lead
16446	PR-B	63	Simple Sine	34:Synth Lead
16447	PR-B	64	Sine Atk Lead	34:Synth Lead
16448	PR-B	65	Dist Stack	34:Synth Lead
16449	PR-B	66	Buzz Saw	34:Synth Lead
16450	PR-B	67	Buzz Nation	34:Synth Lead
16451	PR-B	68	OSC Sync 1	34:Synth Lead
16452	PR-B	69	OSC Sync 2	34:Synth Lead
16453	PR-B	70	OSC Sync 3	34:Synth Lead
16454	PR-B	71	OSC Sync 4	34:Synth Lead
16455	PR-B	72	AX Sync Lead	34:Synth Lead
16456	PR-B	73	Sync Lead	34:Synth Lead
16457	PR-B	74	Sync Tank	34:Synth Lead
16458	PR-B	75	2 krazy Bright	34:Synth Lead
16459	PR-B	76	Dist Sync Lead	34:Synth Lead
16460	PR-B	77	Oct Sync	34:Synth Lead
16461	PR-B	78	Sync Mod	34:Synth Lead
16462	PR-B	79	Metal Sync Lead	34:Synth Lead
16463	PR-B	80	Saw Cross	34:Synth Lead
16464	PR-B	81	Unison Lead	34:Synth Lead
16465	PR-B	82	Unison Fat Mod	34:Synth Lead
16466	PR-B	83	Oct Stack	34:Synth Lead
16467	PR-B	84	Unison Soft	34:Synth Lead
16468	PR-B	85	Growl Lead	34:Synth Lead
16469	PR-B	86	Super Saw Lead	34:Synth Lead
16470	PR-B	87	Unison Reso	34:Synth Lead
16471	PR-B	88	Hoover Lead	34:Synth Lead
16472	PR-B	89	Vintage Lead	34:Synth Lead
16473	PR-B	90	Hardstyle	34:Synth Lead
16474	PR-B	91	Vowel /Mod	34:Synth Lead
16475	PR-B	92	Saw Boost Bs	21:Synth Bass
16476	PR-B	93	Hard House Bs	21:Synth Bass
16477	PR-B	94	Rubber Bs 1	21:Synth Bass
16478	PR-B	95	Punch MG Bs	21:Synth Bass
16479	PR-B	96	Rubber Bs 2	21:Synth Bass
16480	PR-B	97	Spike Bass	21:Synth Bass
16481	PR-B	98	Fat MG Bass	21:Synth Bass
16482	PR-B	99	AX Reso Bass 1	21:Synth Bass
16483	PR-B	100	TB Dist Bass	21:Synth Bass
16484	PR-B	101	MKS-50 SBs	21:Synth Bass
16485	PR-B	102	AX Alpha Bass	21:Synth Bass
16486	PR-B	103	AX MG Bass 1	21:Synth Bass
16487	PR-B	104	AX Modular Bs 1	21:Synth Bass
16488	PR-B	105	Acdg Bass	21:Synth Bass
16489	PR-B	106	7th Stack Bass	21:Synth Bass
16490	PR-B	107	101 Bass	21:Synth Bass
16491	PR-B	108	Compu Bs	21:Synth Bass
16492	PR-B	109	Fat Analog Bs	21:Synth Bass
16493	PR-B	110	Rubber Bs 3	21:Synth Bass
16494	PR-B	111	Long Sweep Bs	21:Synth Bass
16495	PR-B	112	MG Deep Bass	21:Synth Bass
16496	PR-B	113	Round Bass	21:Synth Bass
16497	PR-B	114	AX Reso Bass 2	21:Synth Bass
16498	PR-B	115	AX MG Bass 2	21:Synth Bass
16499	PR-B	116	Juno Sqr Bs	21:Synth Bass
16500	PR-B	117	Reso Sqr Bass	21:Synth Bass
16501	PR-B	118	TB Sqr Sweep Bs	21:Synth Bass
16502	PR-B	119	AX Reso Bass 3	21:Synth Bass
16503	PR-B	120	Detune Tri Bs	21:Synth Bass
16504	PR-B	121	Triangle Bass	21:Synth Bass
16505	PR-B	122	Sine Bass	21:Synth Bass
